Past,EVT,ACRES
Past Conifer,Present Agricultural,45303
Past Conifer,Present Conifer,329810
Past Conifer,Present Conifer-Hardwood,48782
Past Conifer,Present Developed,82181
Past Conifer,Present Exotics,32323
Past Conifer,Present Grassland,260
Past Conifer,Present Hardwood,238888
Past Conifer,Present Riparian,86206
Past Conifer,Present Shrubland,2
Past Grassland,Present Agricultural,1
Past Grassland,Present Conifer,38
Past Grassland,Present Conifer-Hardwood,1
Past Grassland,Present Developed,26
Past Grassland,Present Exotics,1
Past Grassland,Present Hardwood,16
Past Grassland,Present Riparian,22
Past Hardwood,Present Agricultural,147806
Past Hardwood,Present Conifer,140372
Past Hardwood,Present Conifer-Hardwood,66011
Past Hardwood,Present Developed,113058
Past Hardwood,Present Exotics,34219
Past Hardwood,Present Grassland,84
Past Hardwood,Present Hardwood,1183678
Past Hardwood,Present Riparian,53740
Past Hardwood,Present Shrubland,76
Past Hardwood-Conifer,Present Agricultural,34422
Past Hardwood-Conifer,Present Conifer,214827
Past Hardwood-Conifer,Present Conifer-Hardwood,61567
Past Hardwood-Conifer,Present Developed,70994
Past Hardwood-Conifer,Present Exotics,18594
Past Hardwood-Conifer,Present Grassland,79
Past Hardwood-Conifer,Present Hardwood,280087
Past Hardwood-Conifer,Present Riparian,52994
Past Hardwood-Conifer,Present Shrubland,137
Past Riparian,Present Agricultural,13808
Past Riparian,Present Conifer,171267
Past Riparian,Present Conifer-Hardwood,6901
Past Riparian,Present Developed,29172
Past Riparian,Present Exotics,15608
Past Riparian,Present Grassland,29
Past Riparian,Present Hardwood,133715
Past Riparian,Present Riparian,1794850
Past Riparian,Present Shrubland,4
